ConfirmedCovidCases,HealthcareWorkersCovidCases,HospitalisedCovidCases,RequiringICUCovidCases
1025,12.0,40.0,0.0
939,18.0,15.0,0.0
720,31.0,22.0,5.0
675,38.0,22.0,4.0
866,164.0,48.0,1.0
772,35.0,46.0,3.0
416,32.0,29.0,4.0
552,21.0,20.0,1.0
767,26.0,14.0,2.0
322,64.0,38.0,11.0
444,47.0,41.0,4.0
591,59.0,38.0,3.0
499,68.0,52.0,2.0
335,70.0,25.0,2.0
542,35.0,25.0,0.0
270,44.0,34.0,0.0
270,38.0,12.0,4.0
362,56.0,68.0,10.0
395,75.0,29.0,1.0
482,43.0,35.0,3.0
456,75.0,26.0,2.0
378,49.0,20.0,0.0
456,41.0,17.0,2.0
366,97.0,22.0,2.0
379,77.0,38.0,4.0
429,62.0,23.0,1.0
330,46.0,49.0,4.0
344,38.0,29.0,0.0
318,34.0,11.0,0.0
252,22.0,10.0,0.0
226,16.0,16.0,0.0
269,53.0,48.0,10.0
335,35.0,22.0,2.0
206,40.0,19.0,3.0
243,37.0,12.0,0.0
299,12.0,18.0,0.0
306,44.0,24.0,0.0
269,106.0,13.0,3.0
270,66.0,15.0,2.0
183,42.0,15.0,0.0
265,27.0,23.0,-1.0
456,37.0,18.0,5.0
301,60.0,29.0,0.0
242,30.0,7.0,2.0
215,38.0,11.0,0.0
227,27.0,17.0,3.0
